시간	No.	카테고리	문제 전문	정답 키워드	해설 및 암기 팁
1:12	1	전기설비	조명용 배결 전등을 일반 주택 및 아파트 각 호실에 설치할 때 현관 등은 최대 몇 분 이내에 소등되는 꺼지는 타임 스위치를 시설해야 되는가?	3분	일반 주택 및 아파트 현관 등 타임 스위치 소등 시간: 3분 (관광 및 숙박 시설은 1분)
1:35	2	전기설비	다음 중 과전류 차단기를 시설해야 할 것은?	인입선	과전류 차단기 시설 제한 장소 (접다접): 접지선, 다선식 전로의 중성선, 저압 가공 전로의 접지측 전선. 시설해야 하는 곳은 인입선이다.
2:01	3	전기설비	지선에 중간에 넣는 애자는 무엇인가?	구형 애자	지선에 중간에 넣는 애자는 구형 애자이다.
2:13	4	전기설비	금속 공사를 할 때 엔트런스캡(Entrance Cap)의 사용 용도로 옳은 것은?	저압 가공 전로 인입선 입구측 빗물 방지	엔트런스 캡은 저압 가공 인입선 입구측에 사용되는 빗물 방지 장치이다.
2:25	5	전기설비	변전소의 역할로 볼 수 없는 것은?	전력 생산	변전소의 역할(변집 배보역): 전압 변성, 전력 집중과 배분, 전력 계통 보호, 역률 개선. 전력 생산은 아니다.
2:45	6	전기설비	하나의 콘센트에 둘 또는 세 가지 기계 기구를 끼워서 사용할 때 사용되는 것은?	멀티탭	하나의 콘센트에 여러 기구를 연결할 때 사용하는 것은 멀티탭이다.
2:56	7	전기설비	금속관 끝에 나사를 내는 공구는?	오스터	금속관 끝에 나사를 낼 때 사용하는 공구는 오스터이다.
3:06	8	전기설비	절연 전선을 금속 덕트 내에 넣을 경우 금속 덕트 크기는 전선의 피복 절연물을 포함한 단면적 총합계가 금속 덕트 내 단면적에 몇 % 이하가 되도록 선정해야 되는가?	20%	일반적인 경우, 금속 덕트 내 전선 단면적 총합계는 덕트 단면적의 20% 이하이다. (단, 제어회로/형광 표시 배선 등은 50%)
3:47	9	전기설비	충전되어 있는 활선을 움직이거나 작업권 밖으로 밀어낼 때 사용하는 활선 장구는?	와이어 통	충전된 활선을 움직이거나 밀어낼 때 사용하는 장구는 와이어 통이다.
3:59	10	전기설비	실내 전반 조명을 하고자 한다. 작업대로부터 광원의 높이가 2.4m인 위치에 조명 기구를 배치할 때 벽에서 한 기구 이상 떨어진 기구에서 기구간 거리. 기구에서 기구간 거리는 일반적으로 최대 몇 미터로 배치하여 설치하는가?	3.6m	기구간 거리 S=1.5×H (광원의 높이). S=1.5×2.4m=3.6m.
4:35	11	전기설비	절연 전선 서로를 접속할 때 어느 접속기를 사용하면 접속 부분에 절연을 할 필요가 없는가?	박스형 커넥터	박스형 커넥터를 사용하면 접속 부분에 따로 절연을 할 필요가 없다.
4:51	12	전기설비	합성 수지관 공사에서 옥외 등 온도차가 큰 장소에 노출 배관을 할 때 사용하는 커플링은?	신축 커플링(3C)	온도차가 큰 장소에 노출 배관할 때 사용하는 것은 신축 커플링이다.
5:04	13	전기설비	이종 금속몰드의 구성 부품으로 조인트 금속의 종류가 아닌 것은?	플랫 엘보	몰드 조인트 부품: L형, T형, 크로스형 (L티크). 플랫 엘보는 아니다.
5:15	14	전기설비	다음 중 지중 전설로 매설 방법이 아닌 것은?	행거식	지중 전설로 매설 방법 (직관함): 직접 매설식, 관로식, 암거식. 행거식은 아니다.
5:34	15	전기기기	자연 공기 내에서 개방할 때 접촉자가 떨어지면서 자연 소호된다. 자연 소호되는 방식을 가진 차단기로 저압의 교류 또는 직류 차단기로 많이 사용되는 것은?	기중 차단기 (ACB)	자연 소호 방식을 사용하는 차단기는 **기중 차단기(Air Circuit Breaker)**이다.
6:04	16	전기설비	단면적 6제곱mm의 가는 전선의 직선 접속 방법은?	트위스트 접속	6mm 이하의 가는 단선 직선 접속에는 트위스트 접속을 사용한다. (10mm 이상은 브리타니어 접속)
6:30	17	전기설비	다음 중 전선의 굵기를 측정할 때 사용되는 것은?	와이어 게이지	전선의 굵기 측정에 사용되는 것은 와이어 게이지이다.
6:40	18	전기설비	전선관 지지점간 거리. 지지점간 거리에 대한 설명으로 옳은 것은?	가요 전선관을 새들 등으로 지지하는 경우 그 지지점간의 거리는 1m 이하로 한다.	합성 수지관: 1.5m 이하. 금속관 (조영제 따라 시설): 3m 이하. 가요 전선관: 1m 이하이다.
7:36	19	전기설비	공장 내 등에서 대지 전압이 150V를 초과하고 300V 이하인 전로에 백열 전등을 시설할 경우 다음 중 잘못된 것은?	백열 전등은 옥내 배선과 직접 접속하지 않고 시설했다.	백열 전등의 경우 옥내 배선과 직접 접속해야 한다.
8:12	20	전기설비	터널 및 갱도 등 이와 유사한 장소에서 사람이 상시 통행하는 터널 내에 배선 방법이다. 적절하지 않은 것은?	라이팅 덕트 배선	터널 내 배선 방법 (합금캐가요 애자): 합성 수지관, 금속관, 금속제 가요 전선관, 애자 사용 배선은 가능하나 라이팅 덕트 배선은 부적당하다.
8:57	21	전기설비	금속 덕트의 정광 표시 장치, 퇴출 표시 등 또는 제어회로 배선에 사용하는 전선만을 넣을 경우 금속 덕트 크기는 전선의 피복 절연물을 포함한 단면적 총합계가 금속 덕트 내 단면적 몇 % 이하가 되도록 선정해야 되는가?	50%	정광 표시 장치, 제어회로 등의 배선에 사용하는 전선은 덕트 단면적의 50% 이하로 한다. (일반적인 경우는 20%)
9:34	22	전기설비	화약고의 시설하는 전기 설비의 전로에 대지 전압은 몇 볼트 이하로 해야 되는가?	300V	화약고의 전기 설비 대지 전압은 300V 이하이다.
9:46	23	전기설비	두 개 이상의 회로에서 선행 동작 우선회로 상대 동작 금지회로인 동력 배선 제어 회로는?	인터록 회로	선행 동작 우선, 상대 동작 금지의 제어 회로는 **인터록 회로(Interlock Circuit)**이다.
10:05	24	전기설비	다음 그림 기호의 명칭은 (실선이 그려진 심벌)	천장 은폐 배선	실선으로 표시된 배선 심벌은 천장 은폐 배선이다. (긴 점선: 바닥 은폐, 짧은 점선: 노출 배선)
10:22	25	전기설비	다단의 크로스암이 설치되고 장력이 클 때와 H일 때 보통 지선을 2단으로 부설하는 지선은 바로 무엇인가?	Y 지선	다수의 완, 장력이 클 때, H 지지물에 지선을 2단으로 부설하여 Y자 형태로 만드는 것은 Y 지선이다.
10:52	26	전기설비	사람이 접촉될 우려가 있는 곳에 시설하는 경우 접지극은 지하 몇 cm 이상 깊이에 매설하는가?	75cm	사람이 접촉될 우려가 있는 곳의 접지극 지하 매설 깊이는 75cm 이상이다.
11:03	27	전기이론	다음 중 접지의 목적으로 알맞지 않은 것은?	전로의 대지 전압을 상승시킬 목적이다.	접지의 목적은 이상 전압 억제 및 대지 전압 상승을 억제하는 것이므로 상승시키는 것은 잘못되었다.
